,id,text,label,average_subjectivity,majority_subjectivity,average_hidden_assumptions,majority_hidden_assumptions,average_bias_west,majority_bias_west,average_bias_russia,majority_bias_russia
0,0-0,Laj k reacts to Ukraine violence,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
1,0-1, A SERIES of hastily passed laws seeking to limit the right to protest added fuel to the fire of anti government protests in the Ukrainian capital Kiev and after a violent clash with police saw up to five demonstrators killed the international community including Ukraine s western neighbour Slovakia called for calm ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
2,0-2, When blood was shed a red line was crossed Foreign Minister Miroslav Laj k told The Slovak Spectator ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
3,0-3, This is not an academic issue for us ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
4,0-4,We have very actively been supporting a European way for Ukraine ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
5,0-5,The United States has imposed visa restrictions on Ukrainian officials connected to the violence in the wake of allegations that two protesters were shot and killed by security forces ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
6,0-6,Laj k said that he imagines the European Union also must act ,0,0.4,0.0,0.0,0.0,1.25,1.0,1.25,1.0
7,0-7, There is a saying that if a leader does not want to listen to his people he will hear from them Laj k said ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
8,0-8, That is exactly what is happening in Ukraine ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
9,0-9,Prime Minister Robert Fico said on January 22 that he was shocked by the developments in Ukraine ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
10,0-10,He condemned the intervention of specialised security units in Kiev resulting in the death of several demonstrators as unacceptable noting that Ukraine is Slovakia s neighbour with which we have many things in common ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
11,0-11, I want to appeal to all those involved in the demonstrations to refrain from any violence said Fico as quoted by the SITA newswire adding that Ukrainian authorities should respect citizens right to protest ,0,0.4,0.0,0.0,0.0,1.25,1.0,1.25,1.0
12,0-12,According to Fico dialogue not force is needed to quell the tense situation ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
