id,text,label,dataset_id
072-2278,Rick Perry thinks injecting 11 and 12 year old girls with a controversial drug the HPV vaccine without a parents consent is a good idea ,1,72
072-5909,Research performed by economists has shown no consistent positive impact on jobs income or tax revenues arising from stadiums or sports franchises ,0,72
072-5048,Says Scott Walker runs a state government that bans employees from talking about climate change ,1,72
072-12255,Says Clinton called President Assad a reformer She called Assad a different kind of leader ,0,72
072-2999,This is not a mosque Its a cultural center that has a prayer area ,1,72
072-7642,Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States ,1,72
072-3662,The current agriculture commissioner allowed tainted beef to be sent to school cafeterias ,1,72
072-10491,Says Ohio has 77 job training programs spread across 13 state agencies ,0,72
072-8001,McCain voted to cut education funding against accountability standards He even proposed abolishing the Department of Education ,0,72
072-12564,The State Department says the 42 000 jobs created by the Keystone XL pipeline are ongoing enduring jobs ,1,72
072-3380,Republican candidate for governor Allan Fung donated to Democrats like Congressman David Cicilline disgraced House speaker Gordon Fox and even Mr Obamacare Harry Reid ,0,72
072-3047, The centerpiece of Senator McCain s education policy is to increase the voucher program in D C by 2 000 slots ,1,72
072-8363,There are corporations in this nation some of the biggest corporations in this nation who do not pay taxes ,0,72
072-9753,Iran might not be a superpower but the threat the government of Iran poses is anything but tiny as Obama says ,1,72
072-968,Says LeBron James stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season ,0,72
072-8570,Says Mitt Romney said at a January 2012 debate that under Paul Ryans tax plan Id have paid no taxes in the last two years ,0,72
072-3039,Kathleen Peters refuses to take a stand to repeal Obamacare ,0,72
072-9749,The government is going to tell Americans they need to replace functioning stoves in their homes with government certified stoves and use taxpayer dollars to do so ,0,72
072-9964,Over the last several years 40 percent of the jobs created in Texas were created for illegal aliens ,0,72
072-10899,Holding up a BlackBerry McCain campaign adviser says youre looking at the miracle John McCain helped create ,1,72
072-7085,Heres something that people never talk about with coach Schiano Rutgers had the best graduation rate of any Division I football program in America ,1,72
072-7682,Fifty percent of Americans will go hungry at some time in their lives ,0,72
072-7950,If Austin voters reject Proposition 1 a completely new City run criminal background check process will cost millions in processing fees additional staff and bureaucracy with taxpayers getting the bill ,1,72
072-6190, Five percent of Americans pay over half the income taxes in this country Forty percent of Americans pay no income taxes at all ,0,72
072-2012,Nearly 90 of Travis County government races will be settled by the time of the Democratic primary ,0,72
072-10306,Compact fluorescent light bulbs are toxic and not environmentally friendly ,0,72
072-1790,In fiscal year 2011 2012 4 191 abortions were paid for by taxpayers via the Oregon Health Plan ,0,72
