id,text,label,dataset_id
072-7090,Nobodys addicted to marijuana ,1,72
072-9348,When Disney was looking to build Disney World they came to Miami and we told Disney to take a hike ,1,72
012-3547, Ferguson police chief says officer Darren Wilson didn t know MikeBrown was a robbery suspect ,1,12
012-2788,Charlie Hebdo killers tell police We are ready to die as martyrs ,1,12
072-4083,Says Gov Rick Perry has never held a private sector job ,1,72
012-1843, JesuisAhmed commemorates Muslim police officer Ahmed Merabet murdered in Charlie Hebdo attack ,0,12
072-3218,In Virginia there has been a billion dollars in surplus over the last three years The legislature has spent less than 1 percent of that on roads ,1,72
072-12040,Bill McCollum backed Jim Greers effort to hide financial irregularities ,1,72
012-4814,Police confirm several shootings in Ottawa PM safe downtown buildings in lockdown ,1,12
072-4789,Hillary Clinton has already said shes going to wipe out the Second Amendment She doesnt believe in the First Amendment And she also believes in big government which flies in the face of the 10th Amendment,1,72
072-2461,Says Rep Bruce Braley D Iowa missed 79 percent of veterans affairs committee hearings ,0,72
012-4274,Gurlitt s Museum Bequest Is Challenged ,0,12
072-11667,Orrin Hatch co sponsored a 1993 health care bill that had an individual mandate ,0,72
012-852,UPDATE Reports the Sydney Opera House has also been evacuated 9News,1,12
072-4662,In Oregon 12 808 people were arrested for marijuana related crimes in 2012 ,1,72
072-1683,Jorge Elorza wants to impose a municipal income tax ,1,72
072-7390,Says U S Rep Stephen Fincher breaks earmark pledge ,0,72
012-4808,Uniformed Canadian soldier shot at War Memorial in Ottawa ,0,12
072-12085,Elorza wants to teach our public school children about the non existence of God ,1,72
072-2333,500 000 people have signed up for Obamacare ,0,72
072-12657,State House incumbent Jill Chambers R Atlanta personally profits from taxpayer money ,1,72
072-914,Page 992 of the health care bill will establish school based health clinics Your children will be indoctrinated and your grandchildren may be aborted ,1,72
072-7059,We created as many jobs in the first six months of this year as we did in all of 2011 and 2011 was the best single year for private sector job growth since the year 2000 ,0,72
072-2734,Says Wisconsin Gov Scott Walker eliminated cancer screenings for uninsured women and offered no alternatives ,1,72
072-6305,The City of Milwaukee uses the building inspection area as a revenue base ,1,72
072-4624,Mitt Romney says the Arizona immigration law should be a model for the nation ,1,72
072-8138,Says Mark Zandi who wrote a report criticizing Donald Trumps economic proposals is one of Sen John McCains former economic advisers ,0,72
072-7188,Ganley said that if elected he wants to cut the dickens out of Social Security Medicare and Veterans benefits ,1,72
072-5363,U S Senate Majority Leader Harry Reid on whether Senate Democrats would seat Roland Burris ,1,72
012-773,Sydney airspace wasn t closed A second terror suspect wasn t arrested Myths around sydneysiege debunked ,1,12
072-7744,I sponsored and was the co sponsor of the only legislation that ever passed that had E Verify provisions in it back in 2010 when I served in the Legislature ,1,72
012-3602,If Mike Brown was engaged in a robbery before being shot why isn t his alleged accomplice under arrest Ferguson ,1,12
072-2041,It was allowed referring to her email practices ,1,72
072-11419,Says Terry McAuliffe opposes Virginias right to work law ,1,72
012-4260, NYT Art amp Design ArtsBeat Cousin of Cornelius Gurlitt Challenges Will That Leaves Collection to Swiss Museum ,0,12
072-7546,A clause hidden in the Obamacare bill which is now law gives Obama the right to form a private army ,1,72
072-2242,African American children are 500 percent more likely to die from asthma than white kids ,0,72
072-2507,Says TriMets own analysis shows that YouthPass does not actually add to the transit agencys costs ,0,72
072-552,Recently Florida has successfully reduced the environmental permitting time down to just two days ,1,72
072-10231,Milwaukees police chief can fire officers for basically no cause ,1,72
012-2170,The terrorist attack in Paris is beyond obscenity It is a violent assault on freedom of the media and freed of expression for all peoples ,0,12
072-11856,All four on Mount Rushmore they were all independents at one critical point in their career ,1,72
072-12288,In a lawsuit between private citizens a Florida judge announced the decision was going to be based on Islamic Law ,0,72
072-3918,Tarpon Springs takes its homeless to St Petersburg ,1,72
072-4725,Says Newt Gingrich has said that we should make the 11 million illegal workers that are in this country legal ,1,72
072-5342,Im beating Kelly Ayotte in the polls by a lot ,1,72
072-4840,Half of all personal bankruptcies in America are caused by medical bills ,0,72
072-5717,All members of Congress are required to be in Obamacare but Obama and members of his administration have their own gold plated health care plans that theyre in ,0,72
012-5099,UPDATE Reports of 1 more shooter being SHOT This is in addition to one shot and killed earlier in Parliament Hill ottnews OttawaShooting,1,12
012-312,A crazy world we live in A hostage crisis metres away amp peoples 1st thought is let s take a selfie sydneysiege ,0,12
072-6254, We spent approximately 20 billion of that money on pork barrel earmark projects Maybe if we had done it right maybe some of that money would have gone to inspect those bridges and other bridges across the country ,0,72
072-10559,Says Mitt Romney and Paul Ryan want to turn Medicare into a voucher system ,0,72
012-3804,Last known location of crashed Germanwings plane in French Alps ,0,12
072-3317,As Florida secretary of state Kurt Browning allowed 1 800 illegal voters to register in Florida ,1,72
072-10563,In her campaign for president Hillary Clinton has received 100 million in contributions from Wall Street and hedge funds ,1,72
072-5515,President Barack Obama said at the beginning of the negotiations that the basic approach was to dismantle Irans nuclear program in exchange for dismantling the sanctions ,1,72
012-4001,Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps Southern France ,1,12
072-10751,The health care reform bill is the largest tax increase in U S history ,1,72
012-4987,Police in pursuit of multiple shooters in Ottawa PM safe downtown buildings in lockdown ,1,12
072-8330,Says the D C citycouncilpasseda lawbanninglethalrat trapping ,1,72
072-126,Tell me what Madeleine Albrights position was on the War on Iraq I wouldnt be surprised if she supported it ,0,72
012-1086, sydneysiege At least four people believed to have been injured after multiple shots fired ,1,12
012-4324,The Kunstmuseum Bern has officially accepted the Gurlitt art trove More on News shortly ,0,12
072-5208,Wisconsins rainy day fund is 165 times bigger than when we first took office ,0,72
072-9197,Says Jeb Bush oversaw an average in state tuition increase of 48 2 percent during his tenure ,0,72
072-11608,Says Gov Chris Christie cut spending by 1 billion and provided 850 million in new education funding ,0,72
072-2283,One of the key things about Leonard Lance is that in 2008 when you look at the Project Vote Smart website he was not for guns Now he has gone too far to the right saying that you can carry concealed weapons in national parks ,0,72
072-3234,Says Barack Obama began his presidency with an apology tour ,1,72
012-4020,Germanwings plane crashes in France up to 150 feared dead ,0,12
072-10163,Says President AbrahamLincoln tried to arm the slaves ,1,72
072-9513,Says 6 percent more Republicans across the state voted than Democrats ,0,72
072-999,Says Gov Scott Walker made draconian cuts to public safety budgets that put police officers at greater risk of harm ,1,72
072-9957, We were promised The president said we would keep unemployment under 8 5 percent if the stimulus passed ,0,72
072-2976,We have had some significant accomplishments on a bipartisan basis ,0,72
072-2311,On same sex marriage ,1,72
072-9231,Says Scott Walker tried to pass a law to allow pharmacists to block womens access to birth control ,0,72
072-3842,Claims Supreme Court Justice Ruth Bader Ginsburg said she prefers the South African Constitution over the United States Constitution ,1,72
012-1306,Yes tweet actual covers instead of the mere JeSuisCharlie They are after all what the bullies can t handle ,0,12
072-4532,An amazing 5 400 jobs were lost in the first 12 months of the smoking bans implementation in Ohios hospitality industry alone ,1,72
072-4870,Says the media created the term polar vortex and the cold air proves the ice isnt melting ,1,72
012-2691,Police Four of France s most celebrated cartoonists killed Charb Cabu Wolinski amp Tignous CharlieHebdo,1,12
072-9401,Barack Obama wants to restore the estate tax that George W Bush repealed ,1,72
072-7182,Says President Barack Obama has put up a stop sign against oil drilling against any kind of exploration offshore or in Alaska ,1,72
012-2103,Among the names of the dead are Ahmed and Mustapha both are also names of the Prophet Muhammad CharlieHebdo ,0,12
072-806,Says Canada has one tenth of our populationyet it issues far more high skilled visas more than 150 000 yearly than we do 65 000 ,0,72
072-8578,We have been confronted with an unexpected storm that has hit the metropolitan area ,0,72
072-4900,Of every three dollars in food stamps for the needy seven dollars in salaries and pensions go to the bureaucrats who are supposed to be taking care of the poor ,1,72
072-2007,In 2007 when Nancy Pelosi met with President Assad of Syria nobody got upset ,1,72
072-4882,Barack Obama s health care plan would leave 15 million Americans out ,0,72
072-11154,Ultimately after an exhaustive investigation the National Transportation Safety Board concluded that a Minneapolis bridge collapsed in 2007 because of an original design flaw dating back to the 1960s ,0,72
072-10244,On campaign donations from Texas Capitol lobbyists ,0,72
012-3717,Not yet clear if any UK nationals in Germanwings crash thoughts with relatives Downing Street says ,0,12
072-10404,Mental health provisions related to mass shootings got over 90 votes in the Senate ,0,72
012-3516, Ferguson Police Chief The initial contact between DarrenWilson and MikeBrown was NOT related to the alleged theft of cigars ,1,12
012-2678,DEVELOPING 2 reported dead in second hostage situation at Paris grocery store ,1,12
072-5666,McCain s energy plan is a single answer proposition new domestic oil drilling ,1,72
072-1245,Says Democratic Party created Planned Parenthood,1,72
072-6339,Ted Cruz is unknown to the vast majority of Texans ,0,72
012-2931,Please note Twitter had the Ferguson story BEFORE ALL national news outlets But keep telling me how Twitter doesn t matter ,0,12
072-1745,John Mica voted to borrow 10 trillion ,0,72
072-6636,Shows in a television ad that police took evidence fromSolantic Rick Scotts new health care company after allegations emerged that the company was engaging in fraud ,1,72
072-12784,Like me Scott Walker opposed the 1998 transportation bill and the 9 billion of wasteful spending ,1,72
072-2731,Says that if Texas California and New York all voted for Democratic presidential nominees it would be mathematically impossible for Republicans to elect a president ,1,72
072-367,There was serious voter fraud in California ,1,72
072-11987,Says Ohio Rep Marcy Kaptur actually lives in a fancy condo in the Washington D C suburbs ,1,72
012-1436, Iran ian regime has been initiated nourished the idea of killing fatwa starting with Salman Rushdie JeSuisCharlie ,0,12
072-3377,Portland Community College serves more students than all of the states universities combined ,1,72
072-7691,Supported in state tuition in Arkansas for illegal immigrants if you d sat in our schools from the time you re 5 or 6 years old and you had become an A plus student among other things ,0,72
072-7413, The Books Sarah Palin tried to have banned ,1,72
072-5267,Rhode Island 3 bigger at low tide ,1,72
072-1193,Beyonce and Jay Z I like them I like them I get bigger crowds than they do Its true I get far bigger crowds ,1,72
072-2275,Says hes signed a pledge not to raise taxes four times ,0,72
012-1404,Police officers amp staff across Norfolk observe a 2 minute silence PoliceTributeToParis JeSuisCharlie ,0,12
012-2056,This is how France s top sports newspaper covered the CharlieHebdo killings ,0,12
072-11962,John Kasich says he won despite 12 visits by a president somewhere between 45 million and 50 million spent against him 500 paid volunteers in here calling me every name in the book former presidents first ladies and God knows who else ,0,72
012-488,and then came illridewithyou people offering to accompany those who fear for their safety on public transport hope sydneysiege,0,12
072-9901,Unemployment numbers are artificial numbers These are numbers that are massaged to make the existing economy look good to make this administration look good when in fact its a total disaster ,1,72
012-2488,Update AFP reports at least two people killed after shooting at kosher grocery in eastern Paris in which at least five were taken hostage,1,12
012-3677,PHOTO Arrivals board in Dusseldorf Airport shows information for Germanwings plane that crashed in French Alps ,0,12
072-11944,In the last 10 years Georgias middle class income has dropped 6 500 ,0,72
072-1012,In eighth grade math weve fallen to ninth place ,1,72
072-11264,There was a 57 percent decrease in fireworks related injuries in 2000 after Connecticut legalized sparklers compared to the 14 years prior ,1,72
072-50,Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley Eau Claire and La Crosse with their staffs preparing for the next battle ,1,72
072-12521,The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island ,1,72
072-1977,Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter ,0,72
072-10972,A study ranked Florida No 1 in government corruption under Gov Rick Scott ,1,72
072-1989,Some businesses in Oregon are having to shrink back their businesses as a result of the law ,0,72
012-2014,Tina Fey We cannot back down on free speech in any way CharlieHebdo,0,12
072-4511,Says Ron Wyden spent 2 million to study exotic ants ,1,72
072-515,On birthright citizenship for illegal immigrants ,1,72
012-2598, UPDATE Car chase hostage drama as Paris massacre suspects cornered ,1,12
012-874,An ISIS lonewolf has taken around 30 people hostage in a Sydney and demanded to talk to the PM according to Australian media reports ,1,12
072-2053,Says the Texas Education Agency follows up to make sure undocumented immigrants paying in state tuition at Texas colleges are applying for permanent residency ,1,72
072-5783,Federal law requires that hospitals treat people whether or not they can pay So someone who doesnt have health insurance they can go to the hospital and get free care ,0,72
072-8158,In order to pass the CRCT in Georgia you simply have to get half of the answers correct ,0,72
072-11431,The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave ,1,72
072-12278,Were trailing every other state in the Midwest in terms of job creation since January of 2011 ,0,72
012-3153,Police of Ferguson murdered a boy in cold blood Now they re spinning the story amp intimidating the community into silence ,0,12
072-3359,No candidate has run more negative ads in American history than Barack Obama did in 2008 especially in the general ,0,72
012-4484,We are continually assessing monitoring situation to ensure we can do our jobs in keeping Canadians safe Ottawashooting,0,12
072-4231,Says Texas is the only state that exempts jet fuel from its state motor fuels tax ,1,72
072-2437,Georgia spends fewer tourism advertising dollars than any other state in the South ,0,72
072-4383,The federal government may put 16 500 IRS agents in charge of policing President Obamas health care bill ,0,72
072-5734,Says that in Texas Republican nominees get 40 percent of the Latino vote on average ,0,72
072-2305,When his grandfather arrived in the United States there were no government benefits for immigrants ,1,72
072-4415,Louisiana is turning down 100 million that would require us to change our unemployment law that would have actually raised taxes on Louisiana businesses ,0,72
012-24, Putindead Njet Just got bored with Kremlintowers so busy moving to Zutphen Dutch City of many amazing Towers vvv ,0,12
012-5112, Incidents occurred at National War Memorial near the Rideau Centre and Parliament Hill Live blog ,1,12
072-3083,President Obama has the most border patrols and border security deployed at the border of any previous president ,0,72
072-4251,California Senator Democratic Senator Dianne Feinstein said if she could say to Mr America and Mrs America Give me your guns Im rounding em up she would ,1,72
072-12689,On in state tuition for unauthorized immigrants ,0,72
072-12215,Says McCain was a Hanoi Hilton songbird who collaborated with the enemy ,1,72
072-9867,If I have affordable coverage in my workplace Im not eligible to go into the marketplace Its illegal ,1,72
072-12372,Says Charlie Crist implemented Jeb Bushs A Plan ,0,72
072-12575,On his support for sharply limiting collective bargaining by public employees ,0,72
072-9227,Our unemployment rate is now lower than it was before the financial crisis ,0,72
072-338,Ballistic tests have confirmed that the death of at least one U S Border Patrol agent was caused by weapons that were part of a federal arms trafficking operation ,1,72
072-2376,Says Apple products are currently 90 percent conflict free and Intel is 100 percent conflict free ,0,72
012-1315, CharlieHebdo attack shows a complete change in terrorist methods French FM tells me ,0,12
072-2710,On drilling off the Atlantic coast,1,72
072-6361,Small businesses that have 250 000 in gross sales for the business Theyre the ones that are looking at massive tax increases ,1,72
072-8535,Say Ohio Reps Marcia Fudge Marcy Kaptur and Dennis Kucinich are socialists who are openly serving in the U S Congress ,1,72
072-9514,Blocking travel from countries with Ebola should be possible because President Barack Obama has sealed off Israel in the past ,0,72
072-3713, John McCain voted against funding the troops because of a timeline in it to draw down American troops ,0,72
072-9100,Says U S Rep Tammy Baldwin is backing President Barack Obamas plan to pass a 1 5 trillion tax increase ,1,72
012-3124,Community organizations on site in Ferguson ,0,12
072-762,Says that in 2009 ExxonMobil paid no federal income taxes received a 156 million rebate ,1,72
072-5880,Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas ,1,72
072-3084,Says as GOP was picking a convention city I recommended Ohio ,1,72
072-3148,On releasing photographs depicting the abuse of prisoners ,1,72
072-3190,Our national debt is as low as it has been since World War II ,1,72
072-4354,Right now the Tea Party polls higher than the Republicans and the Democrats ,1,72
012-5080,RIP Cpl Nathan Cirillo Canada will always remember you OttawaShooting ,0,12
072-11664,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan ,1,72
072-6502,Virginia spends 400 000 on abstinence programs while losing 2 5 million in federal funds due to Gov Bob McDonnells political agenda ,0,72
072-3812,Because of President Barack Obamas failure to push job creation the black unemployment rate in Ferguson Mo is three times higher than the white unemployment rate ,1,72
072-11240,Most of your serial killers most of your people who commit domestic violence they start off by abusing animals ,1,72
072-5791,Says Barack Obama said black males are two times more likely to be shot by a law enforcement officer than white males and that is a lie because there is no data ,0,72
072-10777,Says under his leadership Wisconsin median household income is up 2 7 while it is down 1 3 nationally under President Obama ,0,72
072-4309,Sen Jack Reed cast the deciding vote in the Senate for the Affordable Care Act ,0,72
072-9086,Rep Jim Renaccis plan to end Medicare also puts nursing home care for 3 000 seniors in the district in immediate jeopardy ,0,72
012-2492,Scene at DammartinEnGoele as police hunt CharlieHebdo suspects follow our coverage ,0,12
012-2487,The last person killed in Charlie Hebdo attacks was Muslim police officer ,1,12
072-10737,The United States is not modernizing its nuclear weapons ,1,72
072-2983, I know that Hillary on occasion has said just last year said this NAFTA was a boon to the economy ,1,72
072-3242,Food stamps have gone up two and a half times under Barack Obama ,1,72
012-789,POLICE MOVE IN Police confirm live ammunition used in Martin Place sydneysiege,0,12
012-990,BREAKING Sixth hostage escapes from sydneysiege ,1,12
072-9464,Says Donald Trump wants to get rid of the federal minimum wage ,0,72
072-9568,Big soda has a lot of money They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that were trying to cure ,0,72
072-10116,Says Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas ,1,72
072-6430,Virginia state employees pay nothing toward their pensions ,1,72
012-2060,That Charlie Hebdo s journalists are determined to bring out the next issue on time is rare courage reminiscent of Cantor Fitzergald,0,12
072-10370,PolitiFact Oregon gave Rob Cornilles a Pants on Fire for a claim about taxes and fees ,1,72
072-10829,Three years after getting the 100 million from Mark Zuckerberg less than two thirds of students in Cory Bookers Newark graduate ,0,72
