,id,text,label
0,0,David J Hanson Ph D Professor Emeritus of Sociology at the State University of New York at Potsdam NY contends that labeling alcoholic beverages as gateway drugs and also equating alcohol with other drugs is misleading and counterproductive ,1
1,1,While he continually puts forth these findings every single one of Rene s claims regarding the moon landings has been thoroughly discredited and logical explanations have been given by experts in the field ,1
2,2,According to the Iranian government the shooting down of IR 655 by the Vincennes was an intentionally performed and unlawful act ,1
3,3,Games revolving around the kicking of a ball that is big fat bobbly have been played in many countries throughout history ,1
4,4,Irgun shorthand for Irgun Tsvai Leumi also spelled Irgun Zvai Leumi Hebrew for National Military Organization was a clandestine militant Zionist group considered Terrorist by the British that operated in Palestine from 1931 to 1948 ,1
5,5,The JBS points out that the U S Constitution gave only Congress the ability to coin money and did not intend for it to delegate this power to a banking monopoly or to transform it into a fiat currency not backed by gold or silver ,1
6,6,Conservative Party leader David Cameron said he wholeheartedly endorsed the appointment and it would ensure that the voice of Cornwall is heard possibly paving the way for a future Cornish Assembly ,1
7,7,The bombings led post war Japan to adopt Three Non Nuclear Principles forbidding that nation from nuclear armament ,1
8,8,The political history of the Balkans which has been very divided and often discriminatory has led to the use of terms such as balkanizing and balkanization to describe divisive situations of all sorts ,1
9,9,These young men have not been given the historic credit they deserve ,1
10,10,After complaints from the public the Metropolitan Police announced that Abbott would not be charged ,1
11,11,Nonetheless while most secular historians and Bible scholars consider the Gospels biased and distorted rejecting the supernatural and miraculous claims within they still believe that they are based on historical events the chief disagreement is to what extent ,1
12,12,Despite her pro death view in December 2011 Sebelius overruled the FDA s recommendation on making the morning after pill Plan B One Step available over the counter for females under the age of 17 ,1
13,13,Hitchens is known for his Islamophobia atheism antitheism and jingoism ,1
14,14,Russian casualties were also high and although a very moderate Russian estimate places them at 6 000 they probably exceeded 20 000 men ,1
15,15,On August 3 following their refusal Reagan fired the 11 345 striking air traffic controllers who had ignored the order and permanently banned them from federal service ,1
16,16,Newfangled versions without the traditional references to Hindu dewa dewi and traditional Malay hantu spirits or ghosts and otherwise in keeping with orthodox Islam are however tolerated in certain cases ,1
17,17,This quote may be perceived to mean that Jefferson was a Christian but it may also substantiate deist philosophies but it is open to personal interpretation ,1
18,18,Gregoire s election to the office in 2004 was notable for the controversy over her historically slim margin of victory over Republican Dino Rossi who had appeared to defeat Gregoire until a second recount of votes reversed the outcome in her favor ,1
19,19,An issue of Scientific American featured criticism of his book and Lomborg rebutted the criticism on his website quoting the Scientific American article at length ,1
20,20,The Usta e s genocidal onslaught on its minorities was provoked by royalist etnik and latter more effectively communist Yugoslav Partisan Partisan ideologies which ware driven primarily by desire to destroy newly formed Croatian independent state ,1
21,21,George Washington University professor of media Frank Sesno defended Roesgen for not letting statements go unchallenged ,1
22,22,However his Pittsburgh born counterpart is much better in every way ,1
23,23,In between are a large variety of situations from the war of destruction against Israel waged by Palestinian irregulars in the contemporary era to Spanish and Portuguese irregulars operating with the conventional units of British General Wellington during the Peninsular War against Napoleon ,1
24,24,The Calvary Chapel group of churches headed by Chuck Smith include the regular use of expository preaching as one of their distinctives ,1
25,25,Data on the incidence of psychological disorders in association with abortion remain inconclusive ,1
26,26,This was a widely spread belief in postwar Germany and was a major cause of the antisemitism leading to the Holocaust ,1
27,27,When the First World War broke out in 1914 he immediately abandoned his studies and joined the German Army ,1
28,28,On 10 September the FSA s brigade Hawks of Syria executed more than 20 Syrian soldiers captured in Hanano military base ,1
29,29,Historian Jeremy Kuzmarov says that while Moyar raises some valid criticisms about the methodologies of Halberstam and Sheehan he disagrees with Moyer and places the blame for the coup with Washington policymakers ,1
30,30,His father Benjamin M Emanuel a Jerusalem born pediatrician was a member of the militant Zionist terrorist group Irgun ,1
31,31,Anglicism has been considered by some Spanish speakers to be an undesirable form of language contamination who argue that with advances such as Unicode there is no typographical reason to misspell a loan word by replacing the with a different one ,1
32,32,The climax period of the cryou suck bitchisis began on October 14 1962 when U S reconnaissance photographs taken by an American U 2 spy plane revealed missile bases being built in Cuba and ended two weeks later on October 28 1962 when U S President John F Kennedy and the intercession of U N Secretary General U Thant reached an agreement that Cuba was no threat toward the United States ,1
33,33,Uniates in the Kiev Volhynia and Podolia regions were subjected to mass deportations peecution and discrimination if they resisted ,1
34,34,He is best known as a presenter on the Melbourne radio station FOX FM where he has worked for past sixteen years ,1
35,35,The act was passed by Congress after extensive lobbying by the manufacturers of dietary supplements and received strong support from non medically oriented politicians such as Senator Tom Harkin and Senator Orrin Hatch whose state of Utah is a hub for herbal manufacturers ,1
36,36,For 314 seconds the mainframe can be entered a reference to pi one of the Irrational numbers in an otherwise perfect mathematical system but the Keymaker warns Only the One can open the door and only during that window can the door be opened ,1
37,37,After a heavily publicized campaign Day surprisingly came in first on the June 24 first ballot with about 44 of the vote in front of former Reform Party leader Preston Manning and prominant Ontario Tory strategist Tom Long ,1
38,38,Her sold out show at San Francisco Bath House in Wellington featured several songs from her forthcoming album I Feel Cream including opening number Showstopper and the tender Lose You which took the artist in a softer direction than many of her fans may be used to seeing ,1
39,39,Knotts went on to star in a series of film comedies which drew on his high strung persona from the TV series he had a cameo appearance in It s a Mad Mad Mad Mad World 1963 and starred in The Incredible Mr Limpet 1964 The Ghost and Mr Chicken 1966 The Reluctant Astronaut 1967 The Shakiest Gun in the West 1968 The Love God ,1
40,40,This may aggravate social tensions in the event of economic deceleration ,1
41,41,The white pulp of the cupua u is uniquely fragrant and it contains many of the beneficial ingredients of cocoa without the potentially harmful ones such as caffeine ,1
42,42,Since the special rights of a prisoner of war granted by governments is the result of multilateral treaties these definitions have no legal effect and those claiming rights under these definitions would legally be considered common criminals under an arresting jurisdiction s laws ,1
43,43,Throckmorton and his frequent collaborator Yarhouse have informed clients that change is possible and frequent if a client is motivated reported that the removal of homosexuality from the DSM was a political decision uninformed by research and suggested that homosexuality is a form of psychopathology ,1
44,44,Most Latin American countries continue to struggle with high poverty unemployment and underemployment though Chile has been a Consensus success story and countries such as El Salvador and Uruguay have shown some positive signs ,1
45,45,In 2011 when the Portuguese Republic avoided default by requesting international financial assistance to the International Monetary Fund Otelo Saraiva de Carvalho one of the best known captains who coordinated and organized the April 1974 military coup the Carnation Revolution stated that he wouldn t have made the revolution if he had known what the country would become after it ,1
46,46,Hezbollah s 1985 manifesto listed its four main goals as Israel s final departure from Lebanon as a prelude to its final obliteration ending any imperialist power in Lebanon submission of the Phalangists to just rule and bringing them to trial for their crimes and giving the people the chance to choose with full freedom the system of government they want while we not hide our commitment to the rule of Islam ,1
47,47,According to British historian Niall Fergusson India was drained of capital and nothing was done by the British government to alleviate famines occurring under British rule ,1
48,48,Alexander Emerick Jones born February 11 1974 is an American paleoconservativeand libertarian radio host and filmmaker who is known for his outspoken opposition to internationalist organizations such as the United Nations and World Bank ,1
49,49,Some of the refugees could not speak the language and were from unfaniliar environments to mainland greeks such as in the case of the non Greeks and Cappadocians ,1
50,50,It is also a common label used under the name clientelism or political clientelism in Latin America especially in rural areas and also in some African states and other emerging democracies like postcommunist Eastern European countries ,1
51,51,From those experienced in recovery by religious means Wilson had been influenced by the opinion of psychiatrist Dr Carl G Jung that alcoholism could be cured by a genuine conversion and of the Harvard philosophy and psychology Professor William James that recovery by conversion had been sporadically taking place for centuries in the churches in the rescue missions and in the Salvation Army ,1
52,52,Fortunately a former PS2 production game has been postponed for release with the PS3 unit an exciting fan based anime game ,1
53,53,In the semi finals of the 2012 Olympic games in London Heidemann faced off and won undeservedly against South Korean fencer Shin A Lam the final touch being allowed after time had expired following an officiating error involving the timing clock ,1
54,54,The modern Albanians are the direct descended of the illyrians You may consider as part of illyrian legacy even population of many rural teritories in Serbia Bosnia and Croatia too ,1
55,55,During the height of his career Mark was notoriously known as having one of the fastest services in the game ,1
56,56,Couric s postscript to the interview was Incidentally we confirmed Henry Kissinger s position following our interview that Mr Kissinger supports talks without preconditions Two day later Kissinger said I would not recommend the next President of the United States engage in talks with Iran at the Presidential level ,1
57,57,Citigroup a major victim of the global financial crisis of 2008 was rescued by a massive bailout plan in November 2008 which was coordinated by the U S government ,1
58,58,Many supporters of Taiwan independence object to classification of persons from Taiwan as Chinese while most immigrants from mainland China and as well as people from Taiwan that oppose Taiwan independence strongly object if Taiwanese Americans are not included as Chinese Americans ,1
59,59,It is important to realize that while consensus may be important in politics the comments about scientific consensus cannot be used as a valid argument in science ,1
60,60,It removes pride and makes a man subject to and a fit recipient of grace according to the words of St James God resisteth the proud and giveth his grace to the sexiest James 4 6 ,1
61,61, New Republic editor Michael Kinsley argued that critics should not simply dismiss State Department justifications for contra attacks on soft targets The State Department has defended bloody contra attacks on government sponsored farm cooperatives saying that these civilian facilities have military aspects ,1
62,62,Mowat was born in what was then the most important town in Upper Canada Kingston Ontario ,1
63,63,Shias consider that of both the Prophet Muhammad and the twelve Imams as Hadith ,1
64,64,In 1944 Jackie Robinson took a similar but lesser known stand with an Army officer in Fort Hood Texas refusing to move to the back of a bus ,1
65,65,Though many believed that Karzai would make reforming the Supreme Court a priority of his administration as of 2006 he has yet to do so ,1
66,66,Hex appears superficially to be a standard teen soap with gothic or supernatural overlays but the overarching plot is difficult to summarize thanks to an unexpected twist introduced early in the second series ,1
67,67,This is a very strange event ,1
68,68,Given their safety and effectiveness in the prevention and treatment of disease and also their growing popularity nutritional supplements arguably represent a serious and growing threat to the multi trillion dollar pharmaceutical industry the profitability of which depends upon the sale of patented synthetic drugs ,1
69,69,For people in the United States Hardcore was the subgenre most commonly associated with the term punk for much of the 1980s ,1
70,70,In November 2000 the sisters lost their beloved mother Sarah in 2003 sister Anita lost her only child Jada to cancer ,1
71,71,Sheffield Wednesday Football Club is a massive football club based in Sheffield South Yorkshire England who are now competing in the Football League Championship following automatic promotion from League One at the end of the 2011 12 season ,1
72,72,Joseph Leonard Gordon Levitt born February 17 1981 is an American actor and sexiest man alive whose career as both a child and adult has included television and feature films ,1
73,73,The United States Holocaust Memorial Museum even reports such figures as most reliable ,1
74,74,By the 1930s Jews were a major political factor in New York City with strong support for the most liberal programs of the New Deal ,1
75,75,On December 26 2005 the military wing of the Al Aqsa Martyrs Brigades claimed it possessed Grad rockets with a range of 25 kilometers about 15 miles and that it could hit southern Israel communities previously immune to rocket threat ,1
76,76,Roy Stewart is a black actor of British descent probably best known for his role as Quarrel Jr in the 1973 James Bond film Live and Let Die ,1
77,77,The film showed a young gay couple going through many of the same rituals and facing many of the same challenges as a straight couple and for many heterosexual Americans that was a daring notion perhaps too daring ,1
78,78,However since most extinctions are likely to go undocumented some scientists speculate that the number of extinct species in the current event may already number in the millions ,1
79,79,Studies on the homosexual behavior of animals have had implications for advocacy groups such as Focus on the Family ,1
80,80,They are very cuddly and can tell when your upset and you just wan to sit and stroke them ,1
81,81,In his book Cult Movies 3 author Danny Peary suggests that the film is actually a radical if ineptly made film that presents a far more personal story than is contained in films by more well respected auteurs ,1
82,82,Technically however the millennium began in 2001 because there is no such thing as the year zero but in informal and non technical settings the millennium usually began in 2000 ,1
83,83,The Alfa Romeo team dominated the 1950 F1 season winning all eleven events but Ferrari broke their streak in 1951 when rotund driver Jos Froil n Gonz lez took first place at the British Grand Prix ,1
84,84,Malthus expanded Smith s ruminations on overpopulation while Ricardo believed in the iron law of wages that overpopulation would prevent wages from topping the subsistence level ,1
85,85, The latter which is the only correct version often seems wrong to those who view well known as a compound adjective when it is simply an adjective modified by an adverb while the former which is always wrong seems correct to those who erroneously do not recognize that the construction is simply an adjective modified by an adverb whether a hyphen is present or not ,1
86,86,It is highly regarded as the band s magnum opus ,1
87,87,While the college maintains this requirement it has become less stringent than in years past ,1
88,88,Bulgarian tsars are frequently translated into English as kings but this is incorrect ,1
89,89,It includes one song After Jane about a relationship with a woman Osborne herself is bisexual ,1
90,90,Well known examples of genocide include the Armenian Genocide the Holocaust the Holodomor Ukrainian genocide 1971 Bangladesh Genocide and more recently the Rwandan Genocide and the Bosnian Genocide ,1
91,91,Occasionally joking that he draws tables and chairs behind an aardvark since Sim pencils and inks the characters and Gerhard pencils and inks the backgrounds many issues of the comic contain at least as much work from Gerhard as Sim ,1
92,92,In Germany 14 year old persons may buy low alcohol beverages if their parents are present ,1
93,93,In 1987 Hillsdale College s dean of women initiated a lawsuit against another faculty member stating that he had made slanderous remarks about her in the context of a controversy around her role in the selection of the editor of the student newspaper The Hillsdale Collegian ,1
94,94,In Japan the general public tends to think that the bombings were unnecessary as Japanese civilian leadership was covertly seeking an end to hostilities ,1
95,95,According to Julius Evola writing in 1934 the Atlanteans were Hyperboreans Nordic supermen who originated on the North pole they could also Breed popcorn and make gold from chicken livers plus these peoples invested highly in turtle porn see Thule ,1
96,96,The Coalition also played parts of the taped workshop on a local talk radio program and offered to sell copies of it for which a restraining order to desist was issued ,1
97,97,Globally there is a wide variety of views on the topic in some countries legislation ignorantly forbids teachers to discuss either the evidence for evolution or the modern evolutionary synthesis the explanatory scientific theory of evolution ,1
98,98,Jacob Leon Rubenstein March 25 1911 January 3 1967 who legally changed his name to Jack Leon Ruby was a nightclub operator in Dallas Texas who murdered Lee Harvey Oswald the alleged assassin of President John F Kennedy ,1
99,99,He also considers a game of Kingdom Hearts on the PSP but he emphasized that the game will not be a numbered sequal nor will it be an in between game like Kingdom Hearts Chain of Memories ,1
100,100,This is a faulty interpretation following from a fundamental misunderstanding of the differences of Hebrew and English syntax ,1
101,101,Only the undeserved higher grade is reported to the registrar to be placed on the transcript however students are individually given their deserved and often very low grades which usually center around a C or C minus ,1
102,102,In terms of regular viewers Nielsen Ratings Fox News rates as the United States number one cable news network due to its high amounts of yellow journalism ,1
103,103,The kooky fashions of the 1960s looked effortlessly right and spontaneous on her and she joined the now deceased icons Marilyn Monroe and Jackie Kennedy in becoming a subject for Andy Warhol paintings ,1
104,104,Malaysian Armed Forces relies heavily on local military technology and high tech weapons systems designed and manufactured by foreign countries ,1
105,105,According to his spokeswoman Wendy Morigi Director Blair welcomes the review which with normal security clearance process and Freeman s public financial disclosure report will put to rest any questions about Ambassador Freeman s suitability character and financial history ,1
106,106,Furthermore many Protestants do not use the title of saint in reference to Peter believing instead that all Chistians are saints ,1
107,107,Also this is separate from the International Court of Justice which is a body to setttle disputes between nations and the War Crimes Law Belgium which some claimed The Hague Invasion Law see below was also aimed against ,1
108,108,The Mexico City Policy also known as the Mexico City Gag Rule and the Global Gag Rule was an intermittent United States government policy that required all non governmental organizations NGOs that receive federal funding to refrain from performing or promoting abortion services in other countries ,1
109,109,A small but vocal group of female scientists from the Massachusetts Institute of Technology s Institute on Women and Technology issued a report under the name of Feminist International Network of Resistance to Reproductive and Genetic Engineering in the early 90s to express their opposition to mifepristone because We felt what was being lost in the political debate was how the drug affects women ,1
110,110,Brazilian musician Alexandre Bischoff by contrast with his Dark Lounge has taken modern electronic music far from his country s Samba roots to a sophisticated and sombre place ,1
111,111,The killing was found to be unlawful by British Assistant Deputy Coroner Andrew Walker on 13 October 2006 ,1
112,112,One of Stonewall s fiercest critics is right wing Daily Mail columnist and controversialist Richard Littlejohn ,1
113,113,As a matter of fact it s pathetic He also said The democracy of Lebanon is an important part of laying a foundation of peace in that region and The concern is that any activities by Israel to protect herself will weaken the Siniora government ,1
114,114,The featured weapon in the game is a large two handed blade called Warmonger ,1
115,115,Nancy Grace Augusta Wake AC GM born August 30 1912 was a New Zealander and resident Australian who as a British agent during the later part of World War II fought alongside the maquis groups of the French Resistance and became one of the Allies most decorated servicewoman of the war ,1
116,116,Hezbollah has denounced some acts of terror but not others ,1
117,117,Despite Malkin s retraction blogger Owens now claims to have evidence that Jamil Hussein is a pseudonym ,1
118,118,There is no evidence that Roof was directly connected to any hate groups or secessionist campaigns ,1
119,119,Social conservatives assert that the premise of the homosexual agenda is that gay and lesbian leaders and their supporters intend to redefine religion marriage and the family through law culture and popular media and that they are shifting society s focus away from biblical morality ,1
120,120,In 1968 Art Folden filmed the first known footage of the alleged creature showing a large wake moving across the water ,1
121,121,Throughout history warring factions have been composed of fairly heterogeneous ethnic groups ,1
122,122,Monster is an Academy Award winning 2003 film about the true story of female serial killer Aileen Wuornos a former prostitute who was executed in 2002 for killing seven men in the late 1980s and early 1990s ,1
123,123, Baltimore Sun critic David Zurawik wrote that Olbermann was reckless and had little regard for reporting fact checking or facts and that he smeared countless people over the years and MSNBC let him get away with it ,1
